[2025-08-01 06:42:40] Created table wptests_ap_payouts
[2025-08-01 06:42:40] Created table wptests_ap_donations
[2025-08-01 06:42:40] Created table wptests_ap_tickets
[2025-08-01 06:42:40] Created table wptests_ap_event_tickets
[2025-08-01 06:42:40] Created table wptests_ap_auctions
[2025-08-01 06:42:40] Created table wptests_ap_bids
[2025-08-01 06:42:40] Created table wptests_ap_promotions
[2025-08-01 06:42:40] Created table wptests_ap_messages
[2025-08-01 06:42:40] Created table wptests_ap_org_user_roles
[2025-08-01 06:58:43] Table wptests_ap_payouts already exists
[2025-08-01 06:58:43] Table wptests_ap_donations already exists
[2025-08-01 06:58:43] Table wptests_ap_tickets already exists
[2025-08-01 06:58:43] Table wptests_ap_event_tickets already exists
[2025-08-01 06:58:43] Table wptests_ap_auctions already exists
[2025-08-01 06:58:43] Table wptests_ap_bids already exists
[2025-08-01 06:58:43] Table wptests_ap_promotions already exists
[2025-08-01 06:58:43] Table wptests_ap_messages already exists
[2025-08-01 06:58:43] Table wptests_ap_org_user_roles already exists
[2025-08-01 07:13:29] Table wptests_ap_payouts already exists
[2025-08-01 07:13:29] Table wptests_ap_donations already exists
[2025-08-01 07:13:29] Table wptests_ap_tickets already exists
[2025-08-01 07:13:29] Table wptests_ap_event_tickets already exists
[2025-08-01 07:13:29] Table wptests_ap_auctions already exists
[2025-08-01 07:13:29] Table wptests_ap_bids already exists
[2025-08-01 07:13:29] Table wptests_ap_promotions already exists
[2025-08-01 07:13:29] Table wptests_ap_messages already exists
[2025-08-01 07:13:29] Table wptests_ap_org_user_roles already exists
[2025-08-01 07:13:39] Table wptests_ap_payouts already exists
[2025-08-01 07:13:39] Table wptests_ap_donations already exists
[2025-08-01 07:13:39] Table wptests_ap_tickets already exists
[2025-08-01 07:13:39] Table wptests_ap_event_tickets already exists
[2025-08-01 07:13:39] Table wptests_ap_auctions already exists
[2025-08-01 07:13:39] Table wptests_ap_bids already exists
[2025-08-01 07:13:39] Table wptests_ap_promotions already exists
[2025-08-01 07:13:39] Table wptests_ap_messages already exists
[2025-08-01 07:13:39] Table wptests_ap_org_user_roles already exists
[2025-08-01 07:33:26] Table wptests_ap_payouts already exists
[2025-08-01 07:33:26] Table wptests_ap_donations already exists
[2025-08-01 07:33:26] Table wptests_ap_tickets already exists
[2025-08-01 07:33:26] Table wptests_ap_event_tickets already exists
[2025-08-01 07:33:26] Table wptests_ap_auctions already exists
[2025-08-01 07:33:26] Table wptests_ap_bids already exists
